DFS Time (s),A* Time (s),UCS Time (s),IDS Time (s)
5.412101745605469e-05,8.392333984375e-05,7.510185241699219e-05,0.0004620552062988281
5.078315734863281e-05,8.273124694824219e-05,6.604194641113281e-05,0.00045609474182128906
6.389617919921875e-05,7.987022399902344e-05,6.985664367675781e-05,0.0003991127014160156
3.314018249511719e-05,6.794929504394531e-05,3.910064697265625e-05,7.700920104980469e-05
2.5987625122070312e-05,4.315376281738281e-05,3.528594970703125e-05,7.700920104980469e-05
3.981590270996094e-05,5.4836273193359375e-05,4.410743713378906e-05,0.00016689300537109375
6.818771362304688e-05,6.508827209472656e-05,4.792213439941406e-05,0.0002071857452392578
4.506111145019531e-05,5.793571472167969e-05,4.57763671875e-05,0.0001671314239501953
5.1975250244140625e-05,7.104873657226562e-05,6.29425048828125e-05,0.0003609657287597656
5.5789947509765625e-05,6.890296936035156e-05,6.914138793945312e-05,0.0002639293670654297
7.009506225585938e-05,9.226799011230469e-05,7.891654968261719e-05,0.00017571449279785156
0.0002789497375488281,0.0002529621124267578,0.0001289844512939453,0.0007619857788085938
4.1961669921875e-05,4.506111145019531e-05,4.8160552978515625e-05,0.00010395050048828125
2.8371810913085938e-05,4.7206878662109375e-05,3.790855407714844e-05,0.00011277198791503906
5.1975250244140625e-05,6.890296936035156e-05,6.508827209472656e-05,0.00032806396484375
4.601478576660156e-05,5.984306335449219e-05,4.673004150390625e-05,0.000202178955078125
9.083747863769531e-05,0.00010991096496582031,8.916854858398438e-05,0.0002701282501220703
0.0006909370422363281,0.00023508071899414062,0.0001461505889892578,0.0003151893615722656
6.580352783203125e-05,0.00010704994201660156,8.487701416015625e-05,0.0002598762512207031
0.00022673606872558594,0.0002338886260986328,0.00020599365234375,0.0008330345153808594
4.029273986816406e-05,5.3882598876953125e-05,0.00011301040649414062,0.00015425682067871094
9.989738464355469e-05,9.512901306152344e-05,7.915496826171875e-05,0.0001819133758544922
0.00012493133544921875,0.00024700164794921875,0.00011801719665527344,0.0007789134979248047
6.914138793945312e-05,5.316734313964844e-05,5.2928924560546875e-05,0.00019288063049316406
3.790855407714844e-05,4.601478576660156e-05,4.100799560546875e-05,0.00011205673217773438
3.409385681152344e-05,5.0067901611328125e-05,4.982948303222656e-05,0.00017905235290527344
3.0040740966796875e-05,4.482269287109375e-05,3.814697265625e-05,0.00013780593872070312
